df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
36.799,1.069
36.829,1.072
36.859,1.078
36.889,1.075
36.919,1.081
36.949,1.074
36.979,1.076
37.009,1.075
37.039,1.074
37.069,1.074
37.099,1.078
37.129,1.077
37.159,1.076
37.189,1.076
37.219,1.077
37.249,1.079
37.279,1.078
37.309,1.070
37.339,1.072
37.369,1.080
37.399,1.076
37.429,1.075
37.459,1.071
37.489,1.073
37.519,1.075
37.549,1.077
37.579,1.074
37.609,1.077
37.639,1.076
37.669,1.076
37.699,1.072
37.729,1.076
37.759,1.078
37.789,1.072
37.819,1.073
37.849,1.076
37.879,1.076
37.909,1.075
37.939,1.076
37.969,1.078
37.999,1.071
38.029,1.068
38.059,1.075
38.089,1.076
38.119,1.071
38.149,1.071
38.179,1.073
38.209,1.077
38.239,1.080
38.269,1.075
38.299,1.075
38.329,1.074
38.359,1.072
38.389,1.074
38.419,1.077
38.449,1.070
38.479,1.078
38.509,1.084
38.539,1.083
38.569,1.076
38.599,1.068
38.629,1.079
38.659,1.070
38.689,1.071
38.719,1.076
38.749,1.079
38.779,1.081
38.809,1.072
38.839,1.067
38.869,1.074
38.899,1.076
38.929,1.079
38.959,1.074
38.989,1.070
39.019,1.072
39.049,1.072
39.079,1.073
39.109,1.078
39.139,1.086
39.169,1.076
39.199,1.072
39.229,1.072
39.259,1.080
39.289,1.074
39.319,1.075
39.349,1.070
39.379,1.069
39.409,1.078
39.439,1.080
39.469,1.071
39.499,1.072
39.529,1.072
39.559,1.072
39.589,1.072
39.619,1.073
39.649,1.080
39.679,1.077
39.709,1.070
39.739,1.065
39.769,1.078
39.799,1.083
39.829,1.078
39.859,1.073
39.889,1.083
39.919,1.086
39.949,1.071
39.979,1.059
40.009,1.077
40.039,1.084
40.069,1.075
40.099,1.069
40.129,1.072
40.159,1.080
40.189,1.072
40.219,1.072
40.249,1.077
40.279,1.079
40.309,1.075
40.339,1.071
40.369,1.072
40.399,1.073
40.429,1.073
40.459,1.074
40.489,1.082
40.519,1.071
40.549,1.074
40.579,1.077
40.609,1.077
