df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
47.708,0.996
47.738,0.990
47.768,0.994
47.798,0.984
47.828,0.992
47.858,0.990
47.888,0.989
47.918,0.992
47.948,0.993
47.978,0.992
48.008,0.990
48.038,0.990
48.068,0.990
48.098,0.991
48.128,0.996
48.158,0.985
48.188,0.990
48.218,0.991
48.248,0.997
48.278,0.991
48.308,0.992
48.338,0.996
48.368,0.991
48.398,0.993
48.428,0.996
48.458,0.990
48.488,0.991
48.518,0.992
48.548,0.990
48.578,0.990
48.608,0.994
48.638,0.989
48.668,0.990
48.698,0.991
48.728,0.993
48.758,0.996
48.788,0.989
48.818,0.992
48.848,0.984
48.878,0.996
48.908,0.993
48.938,0.995
48.968,0.988
48.998,0.988
49.028,0.994
49.058,0.994
49.088,0.986
49.118,0.992
49.148,0.992
49.178,0.991
49.208,0.989
49.238,0.990
49.268,0.991
49.298,0.986
49.328,0.990
49.358,0.996
49.388,0.995
49.418,0.993
49.448,0.985
49.478,0.990
49.508,0.992
49.538,0.993
49.568,0.987
49.598,0.993
49.628,0.994
49.658,0.990
49.688,0.987
49.718,0.995
49.748,0.987
49.778,0.985
49.808,0.995
49.838,0.994
49.868,0.991
49.898,0.988
49.928,0.994
49.958,0.989
49.988,0.992
50.018,0.995
50.048,0.992
50.078,0.994
50.108,0.989
50.138,0.993
50.168,0.992
50.198,0.994
50.228,0.997
50.258,0.996
50.288,0.994
50.318,0.988
50.348,0.994
50.378,0.991
50.408,0.989
50.438,0.988
50.468,0.993
50.498,0.993
50.528,0.989
50.558,0.991
50.588,0.997
50.618,0.997
50.648,0.990
50.678,0.992
50.708,0.990
50.738,0.986
50.768,0.992
50.798,0.987
50.828,1.003
50.858,0.993
50.888,0.991
50.918,0.991
50.948,0.986
50.978,0.991
51.008,0.998
51.038,0.989
51.068,0.994
51.098,0.989
51.128,0.990
51.158,0.991
51.188,0.990
51.218,0.991
51.248,0.992
51.278,0.996
51.308,0.994
51.338,0.987
51.368,0.985
51.398,0.989
51.428,0.987
51.458,1.000
51.488,0.997
51.518,0.993
51.548,0.989
51.578,0.989
51.608,0.991
51.638,0.994
51.668,0.989
51.698,0.998
51.728,0.994
51.758,0.989
51.788,0.995
51.818,0.994
51.848,0.990
51.878,0.994
51.908,0.993
51.938,0.994
51.968,0.998
51.998,0.989
52.028,0.989
52.058,0.989
52.088,0.994
52.118,0.995
52.148,0.990
52.178,0.989
52.208,0.994
52.238,0.989
52.268,0.988
52.298,0.997
52.328,0.994
52.358,0.990
52.388,0.995
52.418,0.989
52.448,0.989
52.478,0.996
52.508,0.997
52.538,0.991
52.568,0.994
52.598,0.992
52.628,0.992
52.658,0.987
52.688,0.992
52.718,0.993
52.748,0.989
52.778,0.980
52.808,0.997
52.838,1.004
52.868,1.000
52.898,0.989
52.928,0.995
52.958,0.997
52.988,0.997
53.018,0.995
53.048,0.990
53.078,0.996
53.108,0.990
53.138,0.988
53.168,0.993
53.198,0.997
53.228,0.986
53.258,0.996
53.288,0.987
53.318,1.001
53.348,0.997
53.378,0.996
53.408,0.990
53.438,0.988
53.468,0.994
53.498,0.994
53.528,0.988
